user_id,if_local,gender,checkins_count,photos_count,friends_count
38232017,1,male,443,14,52
80934595,1,female,335,0,22
325426,1,male,3602,3,85
81834891,1,female,1021,12,17
33288556,1,male,196,10,379
5068062,1,female,1909,623,104
31235540,1,female,1437,20,10
45149732,1,male,710,15,20
21384858,1,male,295,12,98
4297783,1,female,1485,174,47
937192,1,male,2595,18,43
11209682,1,none,2257,304,55
42970981,1,male,140,1,136
36616455,1,male,1220,15,276
351194,1,male,3697,22,187
22262163,1,male,1233,156,24
49369480,1,male,940,39,203
36501341,1,male,2310,48,163
17740489,1,female,5526,49,76
33539522,1,male,246,24,52
16443991,1,male,2284,6,329
35736117,1,male,827,47,95
23473675,1,none,456,63,50
33423615,1,female,956,31,19
15568943,1,male,484,18,53
40969368,1,female,2498,44,114
50747410,1,male,527,35,145
41071602,1,none,1339,13,79
44824463,1,female,858,35,32
36357482,1,male,411,24,106
32627243,1,female,421,11,1
41935311,1,male,544,21,419
29338259,1,male,633,3,254
57932525,1,male,3093,1,109
29216422,1,female,779,13,15
4761926,1,male,260,1,34
4181577,1,male,1982,3,24
42958984,1,male,1449,13,52
4565949,1,female,1294,16,21
784584,1,female,1308,34,36
13834,1,female,4286,970,99
48888897,1,male,341,52,79
16849745,1,male,176,4,36
21407507,1,male,834,23,84
15361809,1,male,760,15,76
6980725,1,male,1471,46,106
13507285,1,male,730,134,595
95838,1,male,9980,145,38
13075536,1,female,1230,29,9
133830154,1,female,239,320,21
15335671,1,male,1623,8,59
153634738,1,female,3,4,1
16422045,1,female,1553,16,16
19581127,1,male,344,78,99
22507081,1,male,3396,4,51
2322417,1,female,7285,64,86
23612713,1,female,604,22,49
26330,1,male,2274,201,647
3087297,1,female,4988,62,65
33158585,1,female,6217,82,92
3423531,1,female,1350,2,13
34934628,1,male,377,12,70
35817765,1,female,1185,10,83
3633041,1,male,576,7,23
41199676,1,male,1332,17,21
4254672,1,male,2149,95,70
43621087,1,male,2969,286,181
43670841,1,male,1466,133,585
466040,1,male,3731,119,15
47391191,1,male,1521,222,144
49731509,1,female,727,17,312
6167665,1,male,1387,606,129
7129711,1,female,1961,87,69
7552,1,male,3117,623,81
7687846,1,female,2704,129,15
8185351,1,male,2277,86,284
8535594,1,male,581,1,573
86120150,1,female,533,12,58
9760947,1,male,3109,84,50
23519345,1,female,51173,223,226
25409885,1,male,22570,140,363
4199755,1,male,32289,177,128
2949318,1,male,26525,319,96
25638740,1,male,16308,318,305
658119,1,male,13113,286,760
25779391,1,male,6859,48,63
49058614,1,male,6603,65,916
5927399,1,male,5212,16,54
4535789,1,female,5238,87,163
284151,1,female,5095,15,202
4570702,1,male,34179,898,40
53217321,1,male,12176,28,249
2894064,1,male,11559,60,107
3130324,1,male,12417,178,67
15318625,1,male,6941,6,229
666903,1,female,7142,739,69
3238594,1,male,6421,103,52
2939189,1,male,6501,12,213
240263,1,male,6325,7,40
2558583,1,male,5218,253,200
5268564,1,male,5099,35,76
3310222,1,female,5023,267,75
3072936,1,male,4924,23,37
36318631,1,female,4898,89,23
3908929,1,male,4786,46,166
694795,1,male,13502,71,46
21929795,1,female,10412,1341,55
7944028,1,male,11264,26,418
7522312,1,female,9961,74,535
14147241,1,male,4956,212,16
29971712,1,male,4841,162,280
48431825,1,female,4802,15,181
33304061,1,female,12295,11,201
167313,1,male,12415,19,82
5481148,1,male,10417,421,688
48868520,1,male,6169,16,493
26076470,1,male,5961,20,62
489314,1,male,4717,8,168
9072875,1,male,4702,34,993
22461440,1,male,4565,85,468
3433007,1,male,14701,247,218
2294359,1,female,16006,80,221
31828032,1,male,9931,122,80
721854,1,male,8887,2906,997
4984562,1,female,8312,470,856
33973,1,male,8703,185,151
15968,1,male,8457,25,57
26409,1,male,8588,1173,349
26245638,1,male,4988,521,195
8402154,1,none,28295,0,20
1320343,1,male,20411,4684,68
3600455,1,male,42349,2983,782
7569766,1,male,43694,811,966
4545393,1,male,17725,1491,740
12414918,1,male,16961,0,11
26963716,1,male,3729,59,138
22816062,1,female,7479,601,18
7695924,1,female,7146,5,362
31162673,1,male,5727,7,62
38029577,1,male,5307,6,685
47921367,1,male,4380,432,92
37325568,1,male,4293,176,594
30198661,1,male,4039,424,249
48075524,1,male,3725,5,281
8009235,1,male,3537,26,78
985367,1,male,3142,173,56
20686305,1,male,2952,23,305
50645952,1,male,2840,9,114
4465969,1,male,2795,106,113
35558916,1,male,2761,297,41
50074886,1,female,2928,0,25
38788927,1,female,2731,0,28
40671027,1,female,2517,527,65
8847898,1,male,2476,10,67
41691746,1,male,2454,490,85
11463598,1,male,2393,17,62
41078990,1,male,2339,237,271
40587797,1,male,2254,142,44
36334918,1,male,2249,4,516
24641763,1,male,2231,88,279
37140863,1,male,2203,13,292
3075156,1,female,2158,19,236
36698949,1,female,2082,153,109
38185779,1,male,2102,11,51
28229825,1,male,2018,54,712
4907990,1,male,15089,3016,234
20448730,1,male,8745,3,14
7289457,1,female,18999,23,51
48880949,1,male,8656,19,503
632873,1,male,8202,90,106
5222642,1,female,8191,791,119
6922859,1,male,8034,223,96
23308350,1,female,7675,152,58
4433691,1,male,7422,11,253
321220,1,male,6239,4,559
522919,1,male,6357,26,69
3231666,1,male,6085,30,13
51007494,1,male,5841,3,13
842722,1,female,5408,4,99
7831523,1,male,5425,84,32
2203492,1,male,4701,861,57
24046477,1,male,4396,900,497
212405,1,male,4172,196,230
5327951,1,male,4074,4,149
28461083,1,male,4139,415,590
3852183,1,male,3944,305,367
12484950,1,male,3786,5,86
33923743,1,male,3495,4,314
8009669,1,female,3391,2,47
23631045,1,male,3305,6,42
30187578,1,male,3210,98,150
3871991,1,male,3167,26,34
50577383,1,male,3062,5,382
13632053,1,male,3089,56,60
2802761,1,male,3033,6,108
3456358,1,male,3005,12,49
39307332,1,male,2958,6,122
366825,1,male,2913,6,35
28336806,1,male,2908,29,34
14329245,1,male,2887,520,430
25972414,1,male,2918,594,200
48987048,1,male,2984,11,482
33499593,1,male,2867,8,213
37450244,1,male,2853,146,286
23737363,1,male,2786,148,50
4934712,1,male,2709,5,130
31807933,1,male,2669,6,918
27386435,1,male,2772,15,29
5091301,1,female,2820,2023,33
23254452,1,female,2649,4,27
48507509,1,none,2768,122,109
282656,1,male,2580,123,122
63887759,1,female,2589,1,14
33483931,1,male,2557,19,62
32201285,1,male,2530,97,716
7772847,1,male,2494,6,23
7243649,1,female,2494,38,151
40805559,1,male,2464,55,94
127538549,1,female,2516,65,21
4215962,1,female,2493,117,79
67280357,1,none,2483,8,14
12188649,1,female,2482,0,91
40314715,1,male,2425,15,22
42559487,1,male,2471,29,45
90199698,1,female,2441,42,12
16502361,1,male,2397,133,98
366277,1,male,2349,37,183
34536358,1,male,2353,1167,111
451873,1,male,2309,47,214
48105206,1,male,2328,34,35
3643530,1,male,2242,1,44
32730157,1,male,2260,23,294
22012594,1,female,2280,139,120
7869459,1,male,2201,1122,42
21272674,1,male,2183,32,529
43490978,1,male,2141,0,432
12223813,1,male,2153,17,38
27870143,1,male,2080,691,4
45677818,1,male,2087,7,81
833005,1,male,2120,21,120
2310984,1,male,2049,466,93
39985599,1,male,2054,54,36
23996078,1,male,2052,8,12
50530542,1,male,2053,107,214
5859750,1,female,9963,51,91
36636331,1,male,8966,28,46
229982,1,female,8013,12,161
3649604,1,female,8069,330,54
15393156,1,male,8182,18,163
949423,1,male,8188,14,47
17544239,1,male,7557,2,184
21095994,1,male,7721,1,45
10098838,1,female,6678,128,127
2308098,1,female,6691,12,43
3801226,1,male,5918,0,189
33733687,1,female,5957,93,152
41187843,1,female,5790,4565,543
89938874,1,male,5887,60,113
354595,1,female,5770,119,546
781010,1,male,5570,54,121
105553,1,female,5614,189,348
8079580,1,female,5247,49,176
3558636,1,male,5246,10,415
7089258,1,male,5157,224,56
1264692,1,male,5003,214,449
4815097,1,male,5014,65,113
30398822,1,male,4969,120,54
5255120,1,female,4593,447,85
32025433,1,male,4524,25,354
6205145,1,female,4683,8,18
56692642,1,male,4621,164,35
44285005,1,male,4447,167,907
48780035,1,male,4560,24,253
29402787,1,female,4394,48,21
422534,1,female,4342,82,90
18994432,1,female,4414,106,30
49910324,1,male,4215,65,63
1341424,1,male,4276,35,121
2584413,1,female,4072,102,38
1677959,1,male,3984,18,43
50554398,1,female,4014,711,43
33105762,1,male,3857,52,22
19983929,1,female,3847,35,66
49224943,1,male,3721,678,506
6110865,1,male,3739,6,72
27359,1,male,3577,202,159
