user_id,if_local,gender,checkins_count,photos_count,friends_count
129175183,0,female,170,83,2
36007644,0,male,3496,1273,111
18215258,0,male,936,11,208
55599415,0,female,4697,6,42
2132046,0,male,1324,19,157
28255001,0,male,5336,51,136
91995994,0,male,409,58,34
7043702,0,female,5446,283,77
52581443,0,female,728,3,270
6610565,0,male,4100,151,74
226463,0,male,6117,791,245
21401617,0,male,973,29,165
5480507,0,female,4765,81,138
5317320,0,male,1306,9,34
9787790,0,male,2384,525,72
398369,0,male,2906,44,88
6826071,0,male,4015,77,15
29797904,0,male,7000,221,67
82580809,0,none,396,19,31
29552291,0,male,1352,36,80
12693013,0,male,1905,38,59
70572402,0,male,1328,38,49
69671462,0,female,1540,20,252
8217085,0,female,495,22,6
25903285,0,male,6082,186,46
17581779,0,male,3740,411,96
144079783,0,male,3214,119,9
27076718,0,male,351,26,17
41874986,0,male,1024,21,61
10127270,0,male,493,15,75
11514101,0,male,4458,400,16
54634395,0,female,2276,202,78
3560633,0,male,1657,162,82
65319420,0,male,1036,154,658
92489750,0,male,230,42,21
36935924,0,male,2274,185,118
6890724,0,male,1660,13,132
237560,0,male,25655,188,504
79521802,0,female,364,19,67
16332206,0,female,2985,571,591
25219261,0,male,393,25,18
11147689,0,male,702,82,33
1110822,0,male,7482,45,63
38149002,0,female,9979,63,29
85697801,0,male,1477,22,7
15304667,0,female,455,237,203
86618310,0,female,790,251,121
38486237,0,male,1962,215,366
657425,0,male,1075,11,32
59607037,0,male,320,3,18
74166884,0,male,6486,3886,80
3153848,0,male,2189,7,105
43328893,0,male,2981,68,61
16046928,0,male,1791,3202,61
3719684,0,male,1115,42,58
1974031,0,male,2853,29,133
137728891,0,female,802,109,15
22252184,0,male,1850,468,22
53226934,0,female,5015,391,17
77008567,0,male,3434,630,89
18596317,0,male,8004,339,43
15071258,0,female,1569,46,64
31545606,0,female,2732,2113,107
10184344,0,female,2558,335,58
31782462,0,male,1270,92,55
19395527,0,male,9210,551,47
90103902,0,male,1481,0,15
674507,0,male,12658,429,72
4728779,0,female,5956,918,146
9333426,0,male,3050,437,107
12445273,0,male,5618,156,226
31563231,0,male,1028,3,12
86175567,0,female,1342,9,21
83540385,0,male,16370,7,51
8144267,0,male,3643,53,112
961508,0,female,4422,24,76
8323241,0,male,2125,14,78
60838068,0,female,5149,5,20
1760842,0,male,2288,8,299
2787312,0,female,3583,1210,610
2164985,0,male,1126,27,46
10481842,0,female,1375,338,327
8198133,0,male,5775,388,70
46488708,0,female,694,216,72
25786430,0,female,250,73,38
19565907,0,female,1618,30,40
65497462,0,female,475,162,18
27677218,0,male,4910,209,382
13283452,0,male,30728,0,977
32750474,0,male,1129,6,166
323960,0,male,11798,1263,136
5007207,0,male,1066,225,661
92337323,0,female,280,53,21
3512014,0,female,2484,195,24
54305278,0,female,387,3,2
61991142,0,male,2025,644,332
2227758,0,male,1933,4,215
29590755,0,female,1992,24,86
63993506,0,female,8841,71,245
6635357,0,female,1612,63,91
5563627,0,male,1205,6,85
19456853,0,female,8044,59,70
738056,0,male,1252,52,11
79929409,0,female,2037,743,59
46240465,0,male,5739,135,976
25836224,0,female,5324,683,14
60186527,0,female,225,21,17
27506464,0,male,2467,1549,373
70571250,0,male,3654,52,23
9506030,0,male,1697,1,55
4418125,0,female,9567,766,130
1136828,0,male,1685,14,13
501967,0,male,9557,357,145
21647769,0,female,3227,787,224
55954708,0,male,5767,300,340
23258058,0,male,1089,11,38
5150587,0,male,3621,37,373
2983604,0,male,648,43,47
21122081,0,male,2691,1672,87
629269,0,male,4575,359,126
2534431,0,male,4837,77,547
19505540,0,male,1180,21,879
19776346,0,male,2399,5,525
22179492,0,male,4601,9,176
5383699,0,female,1592,37,109
68972456,0,male,2659,377,78
27134319,0,female,640,9,15
79784556,0,male,711,12,87
75059815,0,female,1554,189,66
5852099,0,female,923,2,289
42385697,0,male,4181,1010,177
10196839,0,female,3403,119,53
37985764,0,female,2349,55,69
5948203,0,female,1741,78,133
7847465,0,none,912,58,42
49675366,0,male,3266,231,25
155088142,0,male,63,9,4
241038,0,male,12460,954,171
31511858,0,male,1788,90,35
3649260,0,male,3826,14,601
76894757,0,female,904,43,3
17362991,0,female,6112,1812,139
47540772,0,female,468,30,108
13230576,0,female,1942,64,232
74810929,0,male,3083,516,20
37067759,0,female,944,110,12
46894520,0,female,462,6,21
19012796,0,female,4556,17,97
10650813,0,male,14941,127,43
29814478,0,none,1440,14,29
4927732,0,female,2557,1114,55
33779931,0,male,607,16,20
47882221,0,female,1756,329,106
11832415,0,male,2747,21,364
6578888,0,male,3291,94,152
42316253,0,male,807,157,71
777727,0,male,1065,54,38
6237071,0,male,4339,4,85
98339079,0,female,954,54,13
12355962,0,female,4435,567,52
83460972,0,male,3269,9,811
7807669,0,female,603,4,15
27494166,0,male,1259,94,117
50012463,0,male,926,10,7
8792349,0,male,791,430,17
62413218,0,female,1996,104,71
80957772,0,male,501,1,13
1763259,0,male,26365,34,100
66489433,0,male,4986,237,38
13281491,0,male,5679,1570,71
68398578,0,female,3743,80,32
52914105,0,female,1040,213,23
577174,0,male,3171,291,224
20452606,0,female,9196,157,69
41266415,0,female,1858,309,153
48021333,0,male,6324,226,36
91541,0,male,1955,229,123
64061588,0,female,559,3,70
88399054,0,female,214,4,49
40675778,0,female,917,14,30
131744,0,male,648,9,24
1711823,0,male,618,126,7
26665989,0,male,433,123,43
1941507,0,male,5665,98,23
2538003,0,male,1042,53,96
10083582,0,female,1943,92,151
69061566,0,male,339,51,26
89134291,0,male,391,260,17
44563585,0,female,820,929,42
27939605,0,male,928,4,273
4823080,0,male,19078,609,323
4024977,0,female,7904,49,73
17641478,0,male,4139,142,93
28946230,0,female,1843,335,39
59915563,0,male,726,1,33
16895143,0,female,3379,20,20
11773760,0,female,848,74,290
39845725,0,male,833,16,158
45600205,0,female,1283,28,38
6893869,0,female,11567,35,104
3357621,0,female,1823,43,35
140869,0,male,515,52,733
15585054,0,male,844,316,43
65549160,0,none,3518,1441,4
6760339,0,none,2945,343,70
5707807,0,female,572,3,28
7571739,0,male,5047,466,90
165279,0,male,3023,301,979
17539990,0,female,2631,4,48
3649696,0,male,12054,25,59
467372,0,female,2465,38,96
13135779,0,male,1114,94,138
43048724,0,male,7498,409,173
1702974,0,female,4766,14,54
26732664,0,male,449,34,378
28862466,0,female,2440,37,8
47887735,0,male,841,21,73
6333366,0,male,11324,429,48
8786436,0,male,562,20,7
69808613,0,female,1809,250,12
2562486,0,male,1349,178,225
31639397,0,male,1900,53,43
45637335,0,male,1922,128,179
42974595,0,male,2369,28,43
2542648,0,male,2751,37,47
66584959,0,female,3078,0,87
40469149,0,none,2907,4,29
9676598,0,female,259,1,49
11915931,0,female,917,15,125
44005403,0,female,1090,78,27
48429760,0,male,311,3,13
76520305,0,male,1328,415,45
44613309,0,male,834,13,161
58746912,0,female,2061,254,36
5785651,0,male,1922,55,106
738733,0,male,3625,9,89
58595973,0,male,2425,28,23
4791487,0,male,4730,4,59
20608243,0,female,610,2,57
62833561,0,male,1612,17,40
11088465,0,male,530,37,982
13960678,0,male,2118,64,884
43889995,0,male,567,17,117
48672952,0,male,385,3,44
432717,0,male,3733,30,76
43582316,0,male,215,9,38
34562966,0,female,1702,762,48
22682647,0,male,3547,0,388
1280519,0,male,1538,1064,54
32288538,0,female,515,0,113
3829562,0,female,9676,16,56
146641259,0,male,702,28,106
72768910,0,female,1732,3,104
7768732,0,male,1304,103,65
10830222,0,female,1005,5,14
5253613,0,male,2472,77,171
1946708,0,female,6998,232,34
16246199,0,male,645,43,104
82140180,0,female,998,53,95
42306468,0,male,1478,391,37
8808813,0,male,8059,135,112
50941806,0,male,6744,1808,595
1710142,0,female,1896,2,75
17002638,0,male,2400,75,39
45031084,0,male,4005,31,503
1247692,0,female,6817,2218,162
11348091,0,female,3405,11,227
34865031,0,male,275,45,41
17474792,0,female,454,11,34
19525533,0,male,1102,30,260
100217670,0,male,634,53,24
1609282,0,male,4918,383,47
64556526,0,male,475,20,8
94833633,0,female,1323,250,261
66367097,0,female,1252,25,2
6307040,0,female,565,0,22
4215029,0,male,2019,51,63
92336566,0,female,1724,29,57
119931724,0,female,1909,26,9
24611689,0,female,2488,115,61
7843220,0,female,717,57,59
17407206,0,female,7008,319,49
16720736,0,female,1264,475,36
2841257,0,male,1284,117,69
989878,0,male,12877,1,251
1693303,0,male,2638,507,100
20556745,0,female,1589,41,16
29396512,0,male,1157,6,107
36109578,0,male,1414,82,25
87781257,0,male,793,25,51
26733048,0,male,1559,87,9
41287512,0,male,2854,83,49
4946262,0,female,41370,256,150
42850619,0,female,15053,77,162
13907568,0,male,2140,2,191
15590720,0,male,948,27,103
41946761,0,female,411,29,11
50781534,0,female,1173,84,178
7624831,0,female,1637,2,10
40244599,0,female,1986,3,27
76357488,0,male,548,65,4
55052223,0,male,4250,18,190
78883112,0,female,1348,157,76
907117,0,male,998,11,118
43912970,0,male,5907,486,910
69439145,0,male,1184,180,51
58416497,0,male,758,38,207
112283257,0,male,1256,14,112
507980,0,male,1027,67,91
53646637,0,female,245,9,46
8647605,0,male,1854,50,185
4058743,0,male,2008,121,135
34569611,0,female,3146,176,17
2821011,0,male,361,8,199
25694917,0,male,218,2,33
8817218,0,female,2795,50,83
17595908,0,female,655,108,218
51442151,0,male,165,28,55
5444098,0,female,2229,266,691
694142,0,female,999,118,96
22294436,0,male,2721,98,16
584,0,male,3817,25,142
6553217,0,male,1169,1,63
7359755,0,male,268,3,7
22635307,0,male,1161,90,237
5484338,0,male,3389,104,88
4107335,0,male,6919,118,69
2426531,0,male,2002,384,109
31466024,0,male,6633,74,115
3320630,0,male,646,51,352
13874981,0,male,1017,10,198
9195802,0,male,3454,395,70
19421120,0,female,371,39,64
1119530,0,male,2068,175,70
87912828,0,female,1158,130,125
14178312,0,male,1290,55,161
52535848,0,male,3242,305,311
28821397,0,female,1836,290,269
27490859,0,female,1065,7,223
57352730,0,male,361,3,78
9473001,0,male,397,10,88
40082850,0,male,1068,20,41
249441,0,male,3953,106,41
1528927,0,female,2583,217,658
42468335,0,female,7873,84,675
100966584,0,none,338,6,2
7479321,0,male,2059,97,52
50455046,0,female,3350,59,66
82806604,0,male,668,62,49
5412368,0,male,3450,24,436
89287792,0,male,902,160,41
32324041,0,male,647,346,43
6613064,0,male,502,9,19
43975686,0,male,17559,112,190
10998282,0,female,983,314,16
45246702,0,male,1616,67,163
1099369,0,female,593,119,51
12563257,0,male,626,1,10
65994886,0,male,882,103,17
10065526,0,male,676,371,8
30277435,0,female,669,24,31
2009079,0,male,2758,8,200
47882718,0,male,1258,51,17
98368335,0,male,423,53,330
131970,0,male,235,1,225
3281426,0,male,4686,346,710
47977000,0,male,1788,49,38
7897624,0,male,2004,1,174
1182413,0,male,5020,77,11
10074747,0,female,2056,60,206
47687270,0,female,2679,131,26
53325695,0,male,2483,0,86
25691290,0,male,2632,177,38
1427737,0,male,2189,11,20
4753719,0,male,1240,34,313
70056143,0,female,368,9,83
63135303,0,female,808,6,52
50508702,0,male,1097,0,22
59715123,0,female,326,3,390
31488407,0,male,1200,4,104
25990613,0,male,568,22,9
11633274,0,male,7828,192,684
8595586,0,male,642,26,147
2356758,0,male,779,2,3
576131,0,female,1806,12,69
28013741,0,female,1640,106,350
24623949,0,male,742,377,39
18560189,0,male,433,4,10
9437702,0,male,1596,352,34
5898029,0,male,2083,19,103
9994162,0,male,1908,16,33
53234521,0,female,1250,5,57
8228113,0,male,2602,94,381
1564973,0,male,1658,317,791
17772384,0,male,2205,793,67
54635991,0,male,2753,1,108
6598875,0,male,4485,387,166
22253622,0,male,1646,44,271
43245871,0,male,2602,197,81
5680385,0,male,1401,31,32
16361581,0,female,3708,66,16
396634,0,male,2823,4,88
40000102,0,male,1723,38,376
12114638,0,female,1903,19,76
18754228,0,male,1391,81,44
25344,0,male,1036,58,104
6737087,0,male,937,0,56
34439619,0,female,581,15,43
56152288,0,male,604,11,11
105987,0,female,3482,243,109
1222283,0,male,2364,29,89
719202,0,male,1723,44,11
59424646,0,male,1070,371,28
7298397,0,male,337,10,41
409166,0,female,2217,41,79
3585847,0,male,1517,76,316
35676623,0,male,3154,67,208
65914614,0,female,1670,4,55
54847726,0,male,2393,309,338
1127328,0,female,8823,300,472
17838387,0,male,1016,7,46
41924086,0,male,267,2,9
31941125,0,male,6605,36,115
71320986,0,male,435,17,33
8582949,0,male,24180,4399,177
25422541,0,female,787,4,32
31771145,0,male,2064,456,53
53631963,0,male,2063,53,24
6036613,0,female,2876,75,130
4696982,0,female,1843,585,48
1170096,0,female,6099,72,23
2015226,0,female,918,6,36
5307278,0,male,2540,284,88
59454254,0,male,316,5,175
11767344,0,male,3025,290,46
19308117,0,male,1868,74,116
1036274,0,male,4796,62,61
10091432,0,male,1644,54,173
45689753,0,female,3513,42,96
23746223,0,male,1979,272,807
13874298,0,female,1456,78,57
17668369,0,female,490,106,27
26784,0,male,2793,95,90
8775924,0,female,368,312,244
36760765,0,male,1142,40,163
59425420,0,female,249,11,21
37113661,0,male,6571,39,62
21612143,0,male,578,382,96
1675501,0,none,2640,756,20
34571342,0,male,1291,6,51
9904887,0,male,2087,21,68
5108837,0,male,4896,1262,144
1177395,0,male,11015,708,38
6258491,0,female,4332,14,13
13902553,0,male,392,2,65
27112223,0,male,2292,329,73
10171311,0,male,502,14,24
74514912,0,male,586,46,21
27868298,0,male,2186,100,9
25465252,0,male,1577,67,190
71973022,0,male,516,1,101
11930855,0,male,1304,76,64
25729519,0,female,1049,61,62
63248301,0,male,1092,77,16
559778,0,male,537,14,51
934150,0,male,2199,46,92
1319712,0,male,5982,118,214
23592071,0,male,4535,459,23
2725879,0,male,7396,163,234
18673885,0,male,398,27,186
3445157,0,female,2480,131,45
66384482,0,male,1696,95,136
15245986,0,male,395,6,65
3271522,0,male,1296,9,59
46218252,0,male,4554,26,48
4890803,0,female,888,165,486
41185141,0,female,2561,263,288
11826251,0,male,1818,57,122
30263557,0,male,2055,100,173
8725409,0,female,1199,443,203
41549877,0,male,7548,377,313
58909467,0,female,431,38,28
6592316,0,male,1907,206,158
60866534,0,male,562,40,18
81799052,0,male,121,11,150
74371354,0,female,1164,19,14
25865544,0,female,622,105,26
428360,0,male,4836,77,115
105425,0,male,1106,45,9
40181799,0,male,1025,211,86
29228606,0,female,5257,27,59
2440530,0,female,3519,32,558
52736308,0,male,5830,2,38
11397384,0,male,744,40,46
39648812,0,female,805,4,78
14059024,0,none,426,25,70
1199102,0,male,5626,2,269
7140019,0,male,2473,300,496
7864963,0,male,2564,36,686
86550048,0,female,2870,113,87
32553552,0,male,1821,101,150
38508345,0,male,789,60,84
79280997,0,female,1027,48,3
54276863,0,male,3136,290,56
68508877,0,male,1076,7,11
1195940,0,male,4818,66,394
5016948,0,male,1462,83,124
72119521,0,male,541,25,32
201770,0,male,2954,14,47
245783,0,male,4063,56,95
1538996,0,male,9674,316,91
36618200,0,male,552,106,52
50938157,0,female,814,203,109
55989634,0,female,960,16,10
32282265,0,female,2002,36,93
32785244,0,male,8442,122,35
1809247,0,male,1752,50,78
62924,0,male,1762,32,255
72747945,0,male,864,25,80
23772459,0,female,2206,462,12
6163033,0,male,4153,3,213
1971286,0,male,2389,32,58
8092959,0,male,2534,9,181
57260817,0,female,792,721,946
39045030,0,male,587,1,31
28290499,0,female,1259,283,43
36623141,0,male,1123,58,52
8631405,0,male,1469,0,176
250538,0,male,3182,62,39
47808148,0,male,1847,41,28
63771773,0,male,1273,11,171
83333202,0,female,1283,47,7
24127615,0,male,4145,20,174
90055546,0,male,220,37,510
52585170,0,male,246,25,39
13199712,0,female,1412,159,99
18859489,0,female,289,39,68
6635111,0,female,501,90,121
19104376,0,male,2674,142,126
8312655,0,female,1281,26,69
45608388,0,male,1143,165,154
70860205,0,female,6069,86,7
26521380,0,male,847,288,33
17754825,0,male,3671,93,134
15250767,0,female,279,15,63
8702665,0,female,1764,341,19
31614804,0,female,1519,47,126
70915717,0,male,2442,84,377
11049834,0,female,2148,281,105
2431005,0,male,4483,623,301
53106823,0,female,4837,39,367
370713,0,male,574,3,19
41384860,0,female,1180,88,353
21432151,0,male,1502,31,38
27118024,0,male,2354,182,55
9265694,0,male,15277,1138,26
551839,0,male,9289,3,81
16390117,0,male,6198,368,320
62912843,0,none,1402,103,2
59105672,0,female,488,5,7
79582494,0,male,2129,292,234
4885274,0,male,1445,440,398
1773339,0,male,2397,985,85
4849904,0,female,2421,72,73
74749581,0,female,470,1,82
9712704,0,female,1775,83,57
62704755,0,male,2223,129,16
3261532,0,male,6275,63,41
48139240,0,male,3161,19,11
1397888,0,male,5193,9,49
52249576,0,female,708,46,31
2897650,0,male,1192,158,40
21053007,0,male,1702,137,63
46655818,0,female,1884,558,542
7660078,0,male,3972,319,201
30393052,0,female,1576,55,90
47042171,0,male,829,71,55
31829885,0,male,2043,609,50
45849268,0,male,378,32,26
28265134,0,male,879,93,9
1235763,0,male,6869,98,45
42703205,0,male,800,44,119
38752859,0,female,700,48,21
19270054,0,male,985,104,96
3447834,0,female,2660,411,66
481477,0,male,1096,42,87
2821827,0,female,3076,252,23
1918023,0,male,4070,168,85
5634873,0,male,1797,51,123
42410058,0,male,707,9,232
7206182,0,male,1536,150,103
48095234,0,female,2075,22,132
64765662,0,male,521,4,51
17143048,0,male,530,20,227
34474596,0,female,1943,87,17
79334463,0,female,1546,9,85
37016502,0,male,2845,180,68
63521850,0,male,2233,30,58
3343069,0,male,3687,96,81
81987408,0,male,723,33,15
23085564,0,female,1271,20,9
10483690,0,female,507,36,50
52340707,0,male,3956,1354,216
13379688,0,male,1590,90,276
58225967,0,female,579,220,53
5891223,0,male,2017,132,75
45767111,0,female,7104,17,63
18140649,0,female,1155,117,37
5019865,0,male,5202,21,20
71413297,0,male,7221,56,314
15277347,0,male,1824,119,76
6253907,0,male,669,2,85
59068412,0,male,1370,3,4
4734348,0,male,1143,58,26
9482443,0,male,1115,147,101
1069421,0,female,3679,31,38
22024310,0,male,2667,34,420
49598370,0,male,1400,175,133
19588518,0,female,1823,212,559
43994263,0,male,2639,14,174
54038466,0,male,1061,86,141
25679359,0,female,1641,60,529
5404019,0,female,2809,42,240
940904,0,male,3990,237,31
11293394,0,male,925,29,42
6445683,0,male,2366,319,52
25121134,0,female,369,14,25
80971676,0,none,294,20,54
69992813,0,male,272,84,21
5305419,0,male,725,131,676
62527169,0,female,912,37,109
56058998,0,male,800,19,40
4333788,0,male,3144,0,40
5404986,0,male,19601,23,114
804059,0,male,8807,185,235
4123278,0,female,4445,66,29
22228314,0,female,426,2,64
83556517,0,male,465,30,68
75545458,0,male,2115,100,74
9703410,0,male,592,1,3
93987783,0,male,1515,104,45
5759811,0,male,1485,112,98
50101999,0,female,867,17,22
5117733,0,female,3104,287,129
628288,0,female,2075,489,195
12640525,0,male,1936,83,84
35676649,0,male,3853,221,75
21651711,0,male,384,0,10
12645664,0,male,4239,295,173
108672789,0,male,1576,6,176
6933014,0,male,561,93,288
10390922,0,male,1015,55,46
17686118,0,female,2173,17,116
2565854,0,male,1280,250,29
66290977,0,male,1744,510,13
13136852,0,male,2774,92,43
9283031,0,male,25737,3696,48
589988,0,male,5963,507,57
8912084,0,male,1208,10,33
23233382,0,female,1333,99,101
3702412,0,male,853,0,20
7482809,0,male,1172,257,22
91873,0,male,2608,2,51
1126439,0,male,3853,64,170
34038969,0,male,4657,157,13
4233278,0,male,1657,3,72
60789391,0,male,1097,34,82
10406928,0,male,4087,33,185
86804303,0,male,957,143,111
28828980,0,male,2609,291,524
63230960,0,male,356,23,134
32043940,0,male,3069,66,64
49372476,0,female,1659,0,124
1563124,0,male,6258,1552,420
8682739,0,male,8029,730,175
17636883,0,male,537,251,496
1839885,0,male,190,0,19
8779152,0,male,2137,16,649
823850,0,male,1331,244,223
2449121,0,male,5444,11,159
49405453,0,male,407,0,123
82840261,0,female,1283,8,25
5756972,0,male,1837,213,118
8132301,0,female,1447,24,73
15474232,0,female,348,22,111
28138694,0,male,1315,19,18
7588297,0,male,2268,5,83
38858303,0,male,1922,70,27
1684229,0,male,804,7,90
60879724,0,male,781,1,12
74760815,0,female,1026,8,14
15130394,0,female,1614,369,372
1388119,0,male,2005,16,25
70168156,0,none,336,21,41
2521542,0,male,35728,4445,96
86560281,0,male,8296,11,206
1137352,0,male,847,5,8
21291347,0,male,511,15,23
43090282,0,male,5556,247,682
4668133,0,male,2604,26,15
45263522,0,male,277,1,66
6899505,0,male,1973,10,269
1431620,0,male,2162,53,18
302830,0,male,6922,23,179
6591461,0,female,4464,1471,170
55258191,0,male,23206,12969,660
79078842,0,female,598,1,24
1368110,0,male,1880,95,72
8611012,0,male,500,6,17
19638347,0,male,3141,215,81
4771928,0,female,1379,108,122
33411479,0,male,1046,14,200
65681452,0,female,1885,2,65
48504190,0,female,1816,109,36
8948183,0,male,1736,5,126
7891272,0,male,3238,6,12
537862,0,male,12221,2264,152
10626993,0,male,2415,131,190
19230240,0,female,487,77,60
19604046,0,male,4613,28,44
23415907,0,female,1229,305,345
17039507,0,female,350,8,30
8877666,0,female,3040,151,112
58927790,0,male,321,2,5
6575422,0,none,2546,18,351
195662,0,female,3076,61,27
1814714,0,male,1376,48,53
4203918,0,male,7122,179,151
41779373,0,male,583,63,15
4737050,0,male,5448,579,232
19121922,0,male,1504,45,334
8167095,0,male,1794,60,328
866672,0,male,1911,82,385
8644413,0,male,820,80,71
